상호,주소,가격,셀프,상표,구
(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),1653,Y,SK에너지,강남구
현대오일뱅크(주)직영 산성셀프주유소,서울 강남구 헌릉로 730,1699,Y,현대오일뱅크,강남구
삼성동주유소,서울 강남구 테헤란로 619 (삼성동),1699,Y,현대오일뱅크,강남구
현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),1699,Y,현대오일뱅크,강남구
자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1699,Y,SK에너지,강남구
현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),1714,N,현대오일뱅크,강남구
오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),1714,Y,SK에너지,강남구
방죽주유소,서울 강남구 밤고개로 215 (율현동),1717,Y,GS칼텍스,강남구
SK서광주유소,서울 강남구 역삼로 142,1725,Y,SK에너지,강남구
SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,1739,N,SK에너지,강남구
에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),1749,N,S-OIL,강남구
SK에너지(주) 매봉주유소,서울 강남구 언주로 307,1749,Y,SK에너지,강남구
대교셀프주유소,서울 강남구 강남대로 640 (신사동),1750,Y,SK에너지,강남구
(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1759,N,S-OIL,강남구
(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),1775,Y,SK에너지,강남구
일원주유소,서울 강남구 양재대로55길 3 (일원동),1775,Y,S-OIL,강남구
대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),1797,Y,SK에너지,강남구
(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,1797,Y,SK에너지,강남구
에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,1858,N,GS칼텍스,강남구
현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),1998,N,현대오일뱅크,강남구
현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),1998,N,현대오일뱅크,강남구
지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),1998,N,GS칼텍스,강남구
대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,1999,N,GS칼텍스,강남구
지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,2070,N,GS칼텍스,강남구
지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),2140,Y,GS칼텍스,강남구
(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,2140,N,GS칼텍스,강남구
지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),2198,N,GS칼텍스,강남구
대청주유소,서울 강남구 개포로 654 (일원동),2199,N,SK에너지,강남구
명품주유소,서울 강남구 도곡로 249 (역삼동),2228,N,S-OIL,강남구
㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,2258,N,현대오일뱅크,강남구
갤러리아주유소,서울 강남구 압구정로 426,2275,N,SK에너지,강남구
SK논현주유소,서울 강남구 논현로 747 (논현동),2335,N,SK에너지,강남구
(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,2398,N,현대오일뱅크,강남구
(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),2578,N,GS칼텍스,강남구
